idx,smiles
297,O(c1nc(nc(c1)C)C(C)C)P(OCC)(OCC)=O
298,O=C/1/N=C(\N\C(=C\1)C)C(C)C
299,c1ccccc1N(C(=O)C(=O)N(C)C)N(C)C(=O)C
300,n(c(c(C)c1OC(=O)N(C)C)C)c(n1)N(C)C
301,c(ccc1N-c(nc(c2)C)nc2C)cc1
302,O=C(O)C(F)(F)C(F)(F)C(F)(F)F
303,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
304,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
305,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
306,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
307,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
308,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)NCC
309,FC(F)(C(/F)=C\C(O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
310,FC(F)(C(/F)=C/C(O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
311,O=C(O)/C(=C\OC)c3ccccc3Oc2cc(Oc1ccccc1C#N)ncn2
312,[O-][N+](=O)\C=C(/NC)NCCS(=O)Cc1oc(cc1)CN(C)C
313,c1c(S(=O)(=O)NC(Nc2nc(nc(n2)C(F)(F)F)OC)=O)c(C(F)(F)F)ccc1
314,c1(nc(nc(n1)Cl)NC(C)C)NC(C)C
315,C1([C@@](C(N=C(N1)S)=O)([C@@H](CCC)C)CC)=O
316,S1(NC(C=C(O1)C)=O)(=O)=O
317,c1([C@H]([C@@H](NC)C)O)ccccc1
318,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N
319,P(SCC(NC)=O)(OC)(OC)=S
320,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N
321,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
322,C12(C(N(Cc3ccc(c4c(c5[nH]nnn5)cccc4)cc3)C(=N1)CCCC)=O)CCCC2
323,O=C(Nc1nc(OC)cc(OC)n1)NS(=O)(=O)c2cc(NC=O)ccc2C(=O)N(C)C
324,c1(ccc(n2ccc(OCc3c(cccc3)N(OC)C(OC)=O)n2)cc1)Cl
325,c1(cc(C(=O)NCCN(CC)CC)c(cc1N)OC)Cl
326,N([C@@H](CC)CO)CCN[C@@H](CC)CO
327,c1(C(=O)C(NC(C)(C)C)C)cc(ccc1)Cl
328,c1(c(ccc(c1)NC([C@@](CS(c1ccc(F)cc1)(=O)=O)(C)O)=O)C#N)C(F)(F)F
329,C1(CCCCC1)NS(O)(=O)=O
330,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC
331,c1c(Cl)cccc1N1CCNCC1
332,c1c(C(F)(F)F)cccc1N1CCNCC1
333,c1(ccccc1)CC(N)C
334,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)O
335,C/C=C/1\C(CC(N1C)C)(C2=CC=CC=C2)C3=CC=CC=C3
336,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
337,Cc1ccc(cc1)C(=O)C(C)NC
338,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2
339,c1cccc(c1)C[C@H](C)NC
340,C1(=Nc2c(Nc3c1cccc3)ccc(c2)Cl)N1CCN(CC1)C
341,c1c(c(ccc1)O[C@@H](c1ccccc1)CCNC)C
342,OCc1cc(ccc1O)C(O)CNC(C)(C)C
343,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
344,C1CN(CC2=C1SC=C2)C(C3=CC=CC=C3Cl)C(=O)O
345,CS(=O)(=O)Nc1cc2c(c(oc2cc1)CCCC)C(c1ccc(cc1)OCCCN(CCCC)CCCC)=O
346,c1([C@H]2CN3CCSC3=N2)ccccc1
347,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C
348,Fc1cc(c(F)cc1F)C[C@@H](N)CC(=O)N3Cc2nnc(n2CC3)C(F)(F)F
349,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)NCC(O)=O
350,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CC(O)=O
351,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(CC(O)=O)CC
352,O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O
353,O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O
354,Clc4ccc(Oc1ccc(c(Cl)c1)C2(OCC(O2)C)Cn3ncnc3)cc4
355,O=C(c1cc(cc(c1)C)C)N(NC(=O)c2cccc(OC)c2C)C(C)(C)C
356,CC(C)OC(=O)NC(C(=O)N[C@@H](C)c1ccc(C)cc1)C(C)C
357,O=C(Oc1cc(c(SC)c(c1)C)C)NC
